Descrizione Breve                          ,Anno di Scoperta,Descrizione Lunga,Nome Inventore,Paese
 ✈️🚀   Velivolo a propulsione jet                 ,1939,Aeromobile spinto da motori a getto.,Heinkel He 178,Germania
 ✉️🕊️   Dichiarazione Balfour                      ,1917,Sostegno britannico per una casa ebraica.,Arthur James Balfour,Palestina
 ✍️🖋️   Macchina da scrivere                       ,1867,Strumento meccanico o elettromeccanico per scrivere testi in modo efficiente.,Christopher Latham Sholes,Stati Uniti
 ✒️     Firma della Magna Carta                    ,1215,Limita il potere regale e basi del diritto costituzionale.,Re Giovanni d'Inghilterra,Inghilterra
 ✒️     Nascita di William Shakespeare             ,1564,"Drammaturgo inglese, figura preminente della letteratura.",William Shakespeare,Inghilterra
 ✒️📜   Editto di Nantes                           ,1598,Tolleranza ufficiale per Ugonotti.,Enrico IV di Francia,Francia
 ✒️📜   Trattato di Utrecht                        ,1713,Fine della guerra di successione spagnola.,Diplomatici europei,Europa
 ✒️📜   Trattato di Verdun                         ,843,Divisione dell'impero carolingio.,Ludovico il Pio,Europa
 ✒️📜   Trattato di Westfalia                      ,1648,Fine della guerra dei Trent'anni.,Negotiati di pace,Europa
 ✝️     Concilio di Nicea                          ,325,Primo concilio ecumenico cristiano.,Costantino I,Impero Romano
 ✝️     Editto di Milano                           ,313,Tolleranza religiosa per i cristiani.,Costantino I,Impero Romano
 ❄️     Frigorifero                                ,1913,Apparecchio elettrico per mantenere cibi e bevande freschi.,Fred W. Wolf,Stati Uniti
 ❤️🔁   Trapianto di cuore                         ,1967,Procedura medica in cui un cuore malfunzionante viene sostituito.,Christiaan Barnard,Sud Africa
 🌊🔭   Relatività Generale                        ,1915,"Teoria della gravitazione proposta da Einstein, fondamentale per la fisica moderna.",Albert Einstein,Germania
 🌌     Teoria della relatività                    ,1905,Teoria fisica che descrive la relazione tra spazio e tempo.,Albert Einstein,Germania
 🌍📈   Sismografo                                 ,132,Strumento per rilevare e registrare terremoti.,Zhang Heng,Cina
 🌎     Scoperta del Brasile                       ,1500,Portoghesi raggiungono l'attuale Brasile.,Pedro Álvares Cabral,Brasile
 🌐     Internet                                   ,1969,Rete globale di computer che ha rivoluzionato la comunicazione e l'accesso alle informazioni.,ARPANET,Stati Uniti
 🌡️     Termometro                                 ,1593,Strumento per misurare la temperatura.,Galileo Galilei,Italia
 🍎     Leggi di Newton                            ,1687,Tre leggi fondamentali del moto che hanno gettato le basi per la meccanica classica.,Isaac Newton,Regno Unito
 🎨     Nascita di Leonardo da Vinci               ,1452,Genio del Rinascimento italiano.,Leonardo da Vinci,Italia
 🎨     Nascita di Vincent van Gogh                ,1853,"Pittore olandese, figura chiave del post-impressionismo.",Vincent van Gogh,Paesi Bassi
 🎨🃏   Fondazione del Dadaismo                    ,1916,Movimento artistico che ha rifiutato le convenzioni.,Tristan Tzara,Svizzera
 🎨🏛️   Prima Biennale di Venezia                  ,1895,Importante evento internazionale dell'arte contemporanea.,Artisti vari,Italia
 🎨🖼️   Prima esposizione degli Impressionisti     ,1874,Rompere le convenzioni artistiche tradizionali.,Claude Monet,Francia
 🎨🖼️   Realismo                                   ,1850,Movimento letterario incentrato sulla rappresentazione fedele della realtà quotidiana.,Varie figure letterarie,Europa
 🎨🛐   Creazione della Cappella Sistina           ,1512,Capolavoro di Michelangelo nella Città del Vaticano.,Michelangelo,Italia
 🎩⚔️   Rivoluzione Gloriosa                       ,1688,Inizio della monarchia costituzionale inglese.,Guglielmo d'Orange,Inghilterra
 🎭     Romanticismo                               ,1800,"Movimento artistico, letterario e culturale che enfatizzava l'emozione e l'individualità.",Varie figure letterarie,Europa
 🎲🔬   Teoria dei quanti                          ,1900,"Base della meccanica quantistica, descrive la natura a livelli subatomici.",Max Planck,Germania
 🎵     La Chanson de Roland                       ,1100,Epopea che racconta la battaglia di Roncisvalle.,Autore anonimo,Francia
 🏛️    Fondazione di Cartagine                    ,-814,Fondazione della città fenicia di Cartagine.,Dido,Cartagine
 🏛️🎨   Fondazione della Bauhaus                   ,1919,Scuola di design che ha influenzato l'architettura moderna.,Walter Gropius,Germania
 🏰⬇️   Caduta dell'Impero Romano                  ,476,Fine dell'Impero Romano d'Occidente e inizio Medioevo.,Romolo Augustolo,Impero Romano
 🏰⬇️   Caduta di Granada                          ,1492,Fine del regno musulmano in Spagna.,Boabdil,Spagna
 🏰🚩   Conquista di Costantinopoli                ,1453,Fine dell'Impero Romano d'Oriente.,Mehmed II,Impero Bizantino
 🏺🔍   Scoperta della tomba di Tutankhamon        ,1922,Scoperte archeologiche che hanno influenzato l'arte egizia.,Howard Carter,Egitto
 👑     Coronazione di Carlo Magno                 ,800,Fondazione Sacro Romano Impero.,Carlo Magno,Sacro Romano Impero
 💉     Insulina                                   ,1921,Ormone essenziale per il trattamento del diabete.,Frederick Banting,Canada
 💉     Vaccino                                    ,1796,Il vaccino è una preparazione biologica che fornisce immunità acquisita attiva contro una malattia specifica.,Edward Jenner,Regno Unito
 💊     Antibiotici                                ,1928,Sostanze usate per prevenire e trattare infezioni batteriche.,Alexander Fleming,Regno Unito
 💊     Aspirina                                   ,1897,Uno dei primi e più ampiamente usati farmaci antinfiammatori.,Felix Hoffmann,Germania
 💔📝   I dolori del giovane Werther               ,1774,Romanzo epistolare che ha ispirato il movimento Sturm und Drang.,Johann Wolfgang von Goethe,Germania
 💡     Lampadina                                  ,1879,Dispositivo che emette luce quando una corrente elettrica lo attraversa.,Thomas Edison,Stati Uniti
 💡🧬   Fibra Ottica                               ,1966,Tecnologia per la trasmissione di dati a grande velocità attraverso fili di vetro o plastica.,Charles K. Kao,Regno Unito
    Bombardamenti atomici di Hiroshima e Nagasaki ,1945,Bombe atomiche segnano la fine della Seconda Guerra Mondiale.,Harry S. Truman,Giappone
 💥🌌   Teoria del Big Bang                        ,1927,Modello cosmologico che descrive l'espansione dell'universo.,Georges Lemaître,Belgio
 💨🔩   Macchina a vapore                          ,1712,Invenzione cruciale che ha permesso il progresso dell'era industriale.,Thomas Newcomen,Regno Unito
 💻     Computer                                   ,1946,Macchine elettroniche programmabili per elaborare dati e eseguire calcoli complessi.,"John Presper Eckert, John W. Mauchly",Stati Uniti
 💻🌐   HTML                                       ,1993,Linguaggio di markup standard per la creazione di pagine web.,Tim Berners-Lee,Regno Unito
 💻🐧   Sistema Operativo Linux                    ,1991,Sistema operativo open-source basato sul kernel Linux.,Linus Torvalds,Finlandia
 💻🔡   Linguaggio di programmazione C             ,1972,"Linguaggio di programmazione influente, utilizzato ampiamente ancora oggi.",Dennis Ritchie,Stati Uniti
 💻🖱️   Linguaggio di programmazione JavaScript   ,1995,Linguaggio di scripting lato client per pagine web interattive.,Brendan Eich,Stati Uniti
 💼🌍   Conferenza di Bretton Woods                ,1944,Sistema finanziario post-seconda guerra mondiale.,Leader mondiali,Internazionale
 💽     CD-ROM                                     ,1982,Supporto di memorizzazione ottico utilizzato per archiviare dati in formato digitale.,"Sony, Philips","Giappone, Paesi Bassi"
 💽🧠   Microprocessore                            ,1971,"Cuore di un computer, esegue istruzioni di un programma di computer.",Intel,Stati Uniti
 📐📜   Teorema di Gödel                           ,1931,Enunciati matematici che dimostrano i limiti della dimostrabilità.,Kurt Gödel,Austria
 📖     Il Canzoniere di Petrarca                  ,1336,Raccolta di poesie che ha segnato la lirica amorosa.,Francesco Petrarca,Italia
 📖     Prima edizione dell'Encyclopédie           ,1751,Opera fondamentale dell'Illuminismo.,Denis Diderot,Francia
 📖     Pubblicazione di Robinson Crusoe           ,1719,Romanzo che inaugura la narrativa realista moderna.,Daniel Defoe,Inghilterra
 📖💣   Pubblicazione di Guerra e Pace             ,1869,Romanzo epico di Lev Tolstoj sulla società russa.,Lev Tolstoj,Russia
 📖🖨️   Stampa della Bibbia di Gutenberg           ,1455,Primo libro stampato con caratteri mobili.,Johannes Gutenberg,Germania
 📘     Nascita di Dante Alighieri                 ,1265,"Poeta italiano, autore della Divina Commedia.",Dante Alighieri,Italia
 📘     Nascita di Johann Wolfgang von Goethe      ,1749,"Drammaturgo tedesco, figura centrale del Romanticismo.",Johann Wolfgang von Goethe,Germania
 📘     Pamela di Samuel Richardson                ,1740,Romanzo che ha influenzato la narrativa epistolare.,Samuel Richardson,Inghilterra
 📚     Creazione del Codice Atlantico             ,1487,Raccolta di disegni e scritti di Leonardo da Vinci.,Leonardo da Vinci,Italia
 📚     Pubblicazione di Don Chisciotte            ,1605,Opuscolo che fonda il moderno romanzo europeo.,Miguel de Cervantes,Spagna
 📚🎵   Scritti di Hildegard von Bingen            ,1150,"Compositrice e mistica, autrice di testi visionari.",Hildegard von Bingen,Germania
 📚🏞️   La montagna incantata di Thomas Mann       ,1924,Romanzo filosofico che riflette sulle crisi del tempo.,Thomas Mann,Germania
 📚🐦   Le Fables di Jean de La Fontaine           ,1668,Collezione di poesie che illustra la condotta umana.,Jean de La Fontaine,Francia
 📚💰   Pubblicazione di Il grande Gatsby          ,1925,Romanzo simbolo del sogno americano e della sua corruzione.,F. Scott Fitzgerald,Stati Uniti
 📚🖥️   Editoria Elettronica                       ,1980,Tecnologia per la pubblicazione di contenuti attraverso mezzi elettronici.,Varie aziende,Internazionale
 📜     Composizione del Poema Gilgamesh           ,-2100,Antico poema epico mesopotamico.,Autore sconosciuto,Mesopotamia
 📜🦅   Dichiarazione di indipendenza degli USA    ,1776,Le 13 colonie dichiarano indipendenza dalla Gran Bretagna.,Thomas Jefferson,Stati Uniti d'America
 📝💻   Word Processor                             ,1964,"Software per la creazione, modifica e stampa di documenti testuali.",IBM,Stati Uniti
 📞     Invenzione del telegrafo                   ,1837,Comunicazione a distanza rivoluzionata.,Samuel Morse,Stati Uniti d'America
 📞     Telefono                                   ,1876,Dispositivo per la comunicazione vocale a distanza.,Alexander Graham Bell,Stati Uniti
 📡💬   Teoria dell'Informazione                   ,1948,"Studio matematico della trasmissione, elaborazione e utilizzo delle informazioni.",Claude Shannon,Stati Uniti
 📡💳   Chip RFID                                  ,1983,"Tecnologia per l'identificazione automatica di oggetti, animali o persone.",Charles Walton,Stati Uniti
 📦✈️   Scatola nera (registrazione dati volo)     ,1953,Dispositivo per registrare i dati di volo e le conversazioni nella cabina di pilotaggio.,David Warren,Australia
 📸     Invenzione della fotografia                ,1826,Inizio dell'era della fotografia.,Nicéphore Niépce,Francia
 📸💾   Macchina Fotografica Digitale              ,1975,Dispositivo per catturare immagini in forma digitale.,Steven Sasson,Stati Uniti
 📺🎨   Primo videoarte di Nam June Paik           ,1963,Pioniere dell'arte dei media elettronici.,Nam June Paik,Corea del Sud
 🔒🔑   Cerniera lampo                             ,1893,Dispositivo di chiusura utilizzato in abbigliamento e borse.,Whitcomb L. Judson,Stati Uniti
 🔗🔌   Circuito Integrato                         ,1958,Microcircuiti elettronici su un piccolo pezzo di materiale semiconduttore.,"Jack Kilby, Robert Noyce",Stati Uniti
 🔨     Codice di Hammurabi                        ,-1750,Primo codice di leggi scritte.,Hammurabi,Babilonia
 🔨🧲   Velcro                                     ,1941,Sistema di chiusura adesivo.,George de Mestral,Svizzera
 🔬     Microscopio                                ,1590,Strumento che permette di vedere oggetti troppo piccoli per essere visti ad occhio nudo.,Hans e Zacharias Jansen,Paesi Bassi
 🔭     Telescopio                                 ,1608,"Strumento ottico per osservare oggetti distanti, in particolare nel cielo.",Hans Lippershey,Paesi Bassi
 🔭🌌   Telescopio spaziale Hubble                 ,1990,Telescopio orbitante che fornisce immagini dettagliate dello spazio.,NASA,Stati Uniti
 🔺     Teorema di Pitagora                        ,-530,Fondamentale relazione matematica tra i lati di un triangolo rettangolo.,Pitagora,Grecia
 🕌     Fondazione di Baghdad                      ,762,Baghdad diventa capitale islamica.,Califfo al-Mansur,Califfato Abbaside
 🕌     Inizio della costruzione del Taj Mahal     ,1632,"Maestoso mausoleo in India, capolavoro dell'arte islamica.",Shah Jahan,India
 🕰️⚛️   Orologio atomico                           ,1949,Orologio che misura il tempo con grande precisione tramite frequenze atomiche.,National Bureau of Standards (NBS),Stati Uniti
 🕶️     Vetro di sicurezza                         ,1903,"Tipo di vetro che, in caso di rottura, non produce frammenti taglienti.",Édouard Bénédictus,Francia
 🖥️🛠️   Sistema Operativo                         ,1956,Software che gestisce le risorse hardware di un computer e fornisce servizi ai programmi software.,GM-NAA I/O,Stati Uniti
 🖨️     Invenzione della stampa                    ,1440,Gutenberg inventò la stampa a caratteri mobili.,Johannes Gutenberg,Sacro Romano Impero
 🖨️     Invenzione della stampa a olio             ,1420,Tecnica rivoluzionaria nell'arte europea.,Jan van Eyck,Paesi Bassi
 🖼️🌆   Movimento artistico Harlem Renaissance     ,1920,Rivoluzione culturale e artistica afroamericana.,Artisti vari,Stati Uniti
 🖼️🎨   Realizzazione del Guernica di Picasso      ,1937,"Opera di Pablo Picasso, simbolo della guerra civile spagnola.",Pablo Picasso,Spagna
 🖼️🧠   Inizio dell'arte digitale                  ,1960,Nuove forme espressive tramite la tecnologia.,Artisti vari,Internazionale
 🗺️🤝   Conferenza di Berlino                      ,1884,Regolamentazione coloniale dell'Africa.,Potenze coloniali,Africa
 🧠     Calcolo Differenziale                      ,1684,Fondamentale branca della matematica sviluppata per studiare tassi di variazione.,"Isaac Newton, Gottfried Wilhelm Leibniz","Regno Unito, Germania"
 🧪     Struttura atomica                          ,1911,Modello di Rutherford che ha rivoluzionato la comprensione della materia.,Ernest Rutherford,Nuova Zelanda
 🧬     Rayon                                      ,1891,"Prima fibra artificiale, importante nello sviluppo dei tessuti sintetici.",Hilaire de Chardonnet,Francia
 🧮     Calcolatrice                               ,1642,"Strumento per eseguire calcoli matematici, dalla semplice addizione alla complessa programmazione.",Blaise Pascal,Francia
 🧮     Teorema di Fermat                          ,1637,"Enunciato nella teoria dei numeri, famoso per la sua dimostrazione tardiva.",Pierre de Fermat,Francia
 🧲     Magnetismo                                 ,-600,Fenomeno fisico per cui materiali esercitano forze attrattive o repulsive.,Tales,Grecia
 🧲     Magnetron                                  ,1940,"Tubo che produce microonde, utilizzato in radar e forni a microonde.","John Randall, Harry Boot",Regno Unito
 🧵📚   Poesia Modernista                          ,1890,"Movimento poetico che rompeva con le convenzioni passate, enfatizzando il simbolismo e il sperimentalismo.",Varie figure poetiche,Europa e Stati Uniti
 🩺     Stetoscopio                                ,1816,Strumento medico per ascoltare i suoni interni del corpo.,René Laennec,Francia
 🚀     Motore a reazione                          ,1930,Motore che espelle getti ad alta velocità per generare spinta.,"Frank Whittle, Hans von Ohain","Regno Unito, Germania"
 🚀     Radar                          ,1935,Tecnologia per rilevare la posizione e il movimento di oggetti tramite onde radio.,Robert Watson-Watt,Regno Unito
 🚁     Ornitottero                                ,1485,Progetto di un dispositivo di volo meccanico ispirato agli uccelli.,Leonardo da Vinci,Italia
 🚗💨   Motore a combustione interna               ,1859,Motore che genera energia meccanica tramite la combustione di carburante.,Étienne Lenoir,Francia
 🚢📜   Trattato di Kanagawa                       ,1854,Giappone apre porte al commercio occidentale.,Commodoro Perry,Giappone
 🛠️🔌   Motore elettrico                           ,1831,Dispositivo che converte energia elettrica in energia meccanica.,Michael Faraday,Regno Unito
 🛠️🔌   Motore elettrico                           ,1832,Dispositivo che converte energia elettrica in energia meccanica.,William Sturgeon,Regno Unito
 🛡️     Battaglia di Actium                        ,-31,"Ottaviano diventa Augusto, primo imperatore.",Augusto,Impero Romano
 🛡️     Composizione dell'Iliade                   ,-800,Uno dei primi poemi epici della storia.,Omero,Grecia
 🛰️📍   GPS                                        ,1973,Sistema di navigazione satellitare che fornisce posizione e orario in qualsiasi condizione atmosferica.,Dipartimento della Difesa degli Stati Uniti,Stati Uniti
 0️⃣1️⃣  Codice binario                             ,1689,Sistema di rappresentazione di testi o istruzioni in forma di 0 e 1.,Gottfried Wilhelm Leibniz,Germania



































































