Descrizione Breve;Anno di Scoperta;Descrizione Lunga;Nome dell'Inventore;Paese di Origine
Teoria dell'Evoluzione;1859;Teoria scientifica che descrive l'evoluzione biologica delle specie.;Charles Darwin;Regno Unito
Motore a combustione interna;1859;Motore che brucia carburante con un ossidante per creare forza motrice.;Étienne Lenoir;Belgio
Telefono;1876;Dispositivo per la comunicazione vocale a distanza.;Alexander Graham Bell;Stati Uniti
Radioattività;1896;Fenomeno fisico in cui alcuni nuclei atomici emettono radiazioni.;Henri Becquerel;Francia
Fotografia;1826;Tecnica di cattura di immagini fisse tramite l'esposizione alla luce.;Joseph Nicéphore Niépce;Francia
Antibiotico Penicillina;1928;Il primo antibiotico scoperto, rivoluzionario nella lotta contro le infezioni batteriche.;Alexander Fleming;Regno Unito
Stampa a caratteri mobili;1440;Tecnologia di stampa che usa caratteri mobili, rivoluzionaria per la diffusione della conoscenza.;Johannes Gutenberg;Germania
Motore elettrico;1832;Dispositivo che converte energia elettrica in energia meccanica.;William Sturgeon;Regno Unito
Pilastro di Elettricità Statica;1745;Dispositivo per generare elettricità statica, fondamentale per gli studi sull'elettricità.;Ewald Georg von Kleist;Germania
Aspirina;1897;Farmaco antinfiammatorio e antidolorifico.;Felix Hoffmann;Germania
Ornitottero;1485;Progetto di un dispositivo di volo meccanico ispirato agli uccelli.;Leonardo da Vinci;Italia
E=mc² (Equivalenza massa-energia);1905;Formula che mostra la relazione tra massa ed energia.;Albert Einstein;Germania
Teoria delle Stringhe;1960;Modello teorico che ipotizza componenti fondamentali dell'universo come stringhe vibranti.;Gabriele Veneziano;Italia
Calcolatrice;1642;Macchina per eseguire calcoli matematici, antenata del computer moderno.;Blaise Pascal;Francia
Orologio a pendolo;1656;Orologio più accurato del suo tempo, utilizzando un pendolo per misurare il tempo.;Christiaan Huygens;Paesi Bassi
Radioastronomia;1931;Studio degli oggetti celesti tramite le loro emissioni radio.;Karl Jansky;Stati Uniti
Termometro;1593;Strumento per misurare la temperatura.;Galileo Galilei;Italia
Microprocessore;1971;Circuito integrato centrale nei computer moderni.;Ted Hoff, Federico Faggin, Stan Mazor;Stati Uniti
Telescopio spaziale Hubble;1990;Telescopio orbitante che fornisce immagini dettagliate dello spazio.;NASA;Stati Uniti
Macchina fotografica;1816;Dispositivo per catturare immagini, antenata delle moderne fotocamere.;Nicéphore Niépce;Francia
Penna stilografica;1884;Strumento di scrittura che utilizza inchiostro da un serbatoio interno.;Lewis Waterman;Stati Uniti
Radar;1935;Tecnologia per rilevare la posizione e il movimento di oggetti tramite onde radio.;Robert Watson-Watt;Regno Unito
Radiografia (Raggi X);1895;Tecnica di imaging medico che utilizza raggi X per visualizzare l'interno del corpo.;Wilhelm Conrad Röntgen;Germania
Televisione;1927;Tecnologia per la trasmissione di immagini in movimento e suono.;Philo Farnsworth;Stati Uniti
Teorema di Fermat;1637;Enunciato nella teoria dei numeri, famoso per la sua dimostrazione tardiva.;Pierre de Fermat;Francia
Motore a reazione;1930;Motore che espelle getti ad alta velocità per generare spinta.;Frank Whittle, Hans von Ohain;Regno Unito, Germania
Sismografo;132;Strumento per rilevare e registrare terremoti.;Zhang Heng;Cina
Macchina da scrivere;1867;Strumento meccanico o elettromeccanico per scrivere testo.;Christopher Sholes;Stati Uniti
Orologio atomico;1949;Orologio che misura il tempo con grande precisione tramite frequenze atomiche.;National Bureau of Standards (NBS);Stati Uniti
Chitarra elettrica;1931;Strumento musicale che utilizza pickup per convertire la vibrazione delle corde in segnali elettrici.;George Beauchamp;Stati Uniti
Frigorifero;1913;Apparecchio elettrico per mantenere cibi e bevande freschi.;Fred W. Wolf;Stati Uniti
Teorema di Gödel;1931;Enunciati matematici che dimostrano i limiti della dimostrabilità.;Kurt Gödel;Austria
Velcro;1948;Sistema di chiusura a strappo.;George de Mestral;Svizzera
Rayon (seta artificiale);1891;Fibra artificiale prodotta dall'uomo, usata in tessuti.;Louis Marie Hilaire Bernigaud;Francia
Teoria del Big Bang;1927;Modello cosmologico che descrive l'espansione dell'universo.;Georges Lemaître;Belgio
Velivolo a propulsione jet;1939;Aeromobile spinto da motori a getto.;Heinkel He 178;Germania
Cerniera lampo;1893;Dispositivo di chiusura utilizzato in abbigliamento e borse.;Whitcomb L. Judson;Stati Uniti
Pacemaker;1958;Dispositivo che regola il battito cardiaco.;Wilson Greatbatch;Stati Uniti
Vetro di sicurezza;1903;Tipo di vetro che, in caso di rottura, non produce frammenti taglienti.;Édouard Bénédictus;Francia
Teoria delle Onde Gravitazionali;1916;Predizione teorica dell'esistenza di onde gravitazionali.;Albert Einstein;Germania
Teoria del Caos;1963;Studio dei sistemi dinamici sensibili alle condizioni iniziali.;Edward Lorenz;Stati Uniti
Robot;1921;Macchina automatizzata che può eseguire compiti.;Karel Čapek;Repubblica Ceca
Fibra Ottica;1956;Tecnologia per trasmettere dati sotto forma di impulsi di luce.;Narinder Singh Kapany;Stati Uniti
Velcro;1941;Sistema di chiusura adesivo.;George de Mestral;Svizzera
Stetoscopio;1816;Strumento medico per ascoltare i suoni interni del corpo.;René Laennec;Francia
Teoria dell'Informazione;1948;Studio matematico della trasmissione, elaborazione e utilizzo delle informazioni.;Claude Shannon;Stati Uniti
Scatola nera (registrazione dati volo);1953;Dispositivo per registrare i dati di volo e le conversazioni nella cabina di pilotaggio.;David Warren;Australia
Cerotto;1920;Fasciatura adesiva per piccole ferite.;Earle Dickson;Stati Uniti
Globo;1492;Modello sferico che rappresenta la Terra o altri corpi celesti.;Martin Behaim;Germania
Radio;1895;Invenzione che ha permesso la trasmissione di suoni a distanza usando onde radio.;Guglielmo Marconi;Italia
Motore elettrico;1831;Dispositivo che converte energia elettrica in energia meccanica.;Michael Faraday;Regno Unito
Aspirina;1897;Uno dei primi e più ampiamente usati farmaci antinfiammatori.;Felix Hoffmann;Germania
Teoria della relatività;1905;Teoria rivoluzionaria di Einstein che ha modificato concetti di tempo e spazio.;Albert Einstein;Germania
Lampadina;1879;Invenzione che ha reso possibile l'illuminazione elettrica pratica e sicura.;Thomas Edison;Stati Uniti
Trapianto di cuore;1967;Procedura medica in cui un cuore malfunzionante viene sostituito.;Christiaan Barnard;Sud Africa
Internet;1960;Rete globale di computer che ha rivoluzionato la comunicazione e l'accesso alle informazioni.;Vint Cerf, Bob Kahn;Stati Uniti
Fotografia;1826;Processo di cattura di immagini permanenti attraverso l'azione della luce.;Joseph Nicéphore Niépce;Francia
Calcolo Differenziale;1684;Fondamentale branca della matematica sviluppata per studiare tassi di variazione.;Isaac Newton, Gottfried Wilhelm Leibniz;Regno Unito, Germania
Antibiotici;1928;Sostanze usate per prevenire e trattare infezioni batteriche.;Alexander Fleming;Regno Unito
Telescopio;1608;Strumento ottico che aiuta ad osservare oggetti distanti nello spazio.;Hans Lippershey;Paesi Bassi
Laser;1960;Dispositivo che emette luce attraverso un processo di amplificazione ottica.;Theodore Maiman;Stati Uniti
Pila elettrica;1800;Primo dispositivo capace di generare energia elettrica in modo continuo.;Alessandro Volta;Italia
Rayon;1891;Prima fibra artificiale, importante nello sviluppo dei tessuti sintetici.;Hilaire de Chardonnet;Francia
Radioattività;1896;Fenomeno di emissione di particelle da materiali instabili.;Henri Becquerel;Francia
Insulina;1921;Ormone essenziale per il trattamento del diabete.;Frederick Banting;Canada
Struttura atomica;1911;Modello di Rutherford che ha rivoluzionato la comprensione della materia.;Ernest Rutherford;Nuova Zelanda
Magnetismo;-600;Fenomeno fisico per cui materiali esercitano forze attrattive o repulsive.;Tales;Grecia
Codice binario;1689;Sistema di rappresentazione di testi o istruzioni in forma di 0 e 1.;Gottfried Wilhelm Leibniz;Germania
Elettricità;1600;Fenomeno fisico associato alla presenza e al flusso di carica elettrica.;William Gilbert;Regno Unito
Calcolatrice;1642;Strumento per eseguire calcoli matematici, dalla semplice addizione alla complessa programmazione.;Blaise Pascal;Francia
Teoria dell'evoluzione;1859;Teoria scientifica che spiega l'origine e lo sviluppo delle specie viventi.;Charles Darwin;Regno Unito
Radio;1895;Tecnologia per la trasmissione di suoni a distanza mediante onde radio.;Guglielmo Marconi;Italia
Antibiotici;1928;Sostanze usate per prevenire e trattare infezioni batteriche.;Alexander Fleming;Regno Unito
Telescopio;1608;Strumento ottico per osservare oggetti distanti, in particolare nel cielo.;Hans Lippershey;Paesi Bassi
Teoria della relatività;1905;Teoria fisica che descrive la relazione tra spazio e tempo.;Albert Einstein;Germania
Lampadina;1879;Dispositivo che emette luce quando una corrente elettrica lo attraversa.;Thomas Edison;Stati Uniti
Internet;1969;Rete globale di computer che ha rivoluzionato la comunicazione e l'accesso alle informazioni.;ARPANET;Stati Uniti
Motore a combustione interna;1859;Motore che genera energia meccanica tramite la combustione di carburante.;Étienne Lenoir;Francia
Teoria dei giochi;1944;Ramo della matematica applicata che studia situazioni strategiche.;John von Neumann, Oskar Morgenstern;Ungheria, Austria
Microscopio;1590;Strumento che permette di vedere oggetti troppo piccoli per essere visti ad occhio nudo.;Hans e Zacharias Jansen;Paesi Bassi
Transistor;1947;Componente elettronico semiconduttore fondamentale per l'elettronica moderna.;John Bardeen, Walter Brattain, William Shockley;Stati Uniti
Circuito Integrato;1958;Microcircuiti elettronici su un piccolo pezzo di materiale semiconduttore.;Jack Kilby, Robert Noyce;Stati Uniti
Linguaggio di programmazione C;1972;Linguaggio di programmazione influente, utilizzato ampiamente ancora oggi.;Dennis Ritchie;Stati Uniti
Microprocessore;1971;Cuore di un computer, esegue istruzioni di un programma di computer.;Intel;Stati Uniti
Sistema Operativo;1956;Software che gestisce le risorse hardware di un computer e fornisce servizi ai programmi software.;GM-NAA I/O;Stati Uniti
Linguaggio di programmazione Python;1991;Linguaggio di programmazione ad alto livello, versatile e ampiamente utilizzato.;Guido van Rossum;Paesi Bassi
HTML;1993;Linguaggio di markup standard per la creazione di pagine web.;Tim Berners-Lee;Regno Unito
Sistema Operativo Linux;1991;Sistema operativo open-source basato sul kernel Linux.;Linus Torvalds;Finlandia
Linguaggio di programmazione JavaScript;1995;Linguaggio di scripting lato client per pagine web interattive.;Brendan Eich;Stati Uniti
Fibra Ottica;1966;Tecnologia per la trasmissione di dati a grande velocità attraverso fili di vetro o plastica.;Charles K. Kao;Regno Unito
GPS;1973;Sistema di navigazione satellitare che fornisce posizione e orario in qualsiasi condizione atmosferica.;Dipartimento della Difesa degli Stati Uniti;Stati Uniti
Chip RFID;1983;Tecnologia per l'identificazione automatica di oggetti, animali o persone.;Charles Walton;Stati Uniti
Macchina Fotografica Digitale;1975;Dispositivo per catturare immagini in forma digitale.;Steven Sasson;Stati Uniti
CD-ROM;1982;Supporto di memorizzazione ottico utilizzato per archiviare dati in formato digitale.;Sony, Philips;Giappone, Paesi Bassi
Romanticismo;1800;Movimento artistico, letterario e culturale che enfatizzava l'emozione e l'individualità.;Varie figure letterarie;Europa
Macchina da scrivere;1867;Strumento meccanico o elettromeccanico per scrivere testi in modo efficiente.;Christopher Latham Sholes;Stati Uniti
Realismo;1850;Movimento letterario incentrato sulla rappresentazione fedele della realtà quotidiana.;Varie figure letterarie;Europa
Poesia Modernista;1890;Movimento poetico che rompeva con le convenzioni passate, enfatizzando il simbolismo e il sperimentalismo.;Varie figure poetiche;Europa e Stati Uniti
Fantascienza;1920;Genere letterario basato su impatti ipotetici di scienza e tecnologia sul futuro.;Varie figure letterarie;Internazionale
Editoria Elettronica;1980;Tecnologia per la pubblicazione di contenuti attraverso mezzi elettronici.;Varie aziende;Internazionale
Postmodernismo;1960;Movimento letterario e culturale caratterizzato da un atteggiamento di sfida verso le convenzioni.;Varie figure letterarie;Internazionale
Word Processor;1964;Software per la creazione, modifica e stampa di documenti testuali.;IBM;Stati Uniti
E-Book;1971;Libro in formato digitale, accessibile su dispositivi elettronici.;Michael S. Hart;Stati Uniti
